epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,56.6369,2.42496,8.92799,1.02733,0.00384,0.37407,0.00265,0.00088,2.94918,inf,1.98537,0.0704412,0.00328431,0.00328431
2,115.575,2.59917,2.38511,1.09896,0.32203,0.07037,0.04707,0.00842,3.60282,177.58,1.50987,0.0403975,0.00657397,0.00657397
3,174.617,2.45104,2.35125,1.04617,0.6875,0.04074,0.03515,0.01702,nan,nan,nan,0.0103098,0.00981963,0.00981963
4,245.372,2.339,2.01021,1.04338,0.1963,0.02593,0.01608,0.00782,2.95813,8.47805,5.5019,0.009802,0.009802,0.009802
5,306.23,2.26,1.9697,0.99192,0.45965,0.04097,0.04474,0.02224,3.28615,3.01045,7.91576,0.009736,0.009736,0.009736
6,363.786,2.10285,1.66123,0.96846,0.78215,0.55849,0.63905,0.31671,1.81047,1.52013,0.93238,0.00967,0.00967,0.00967
7,421.851,1.98602,1.67186,0.95175,0.4795,0.4,0.39405,0.18763,1.9556,2.27975,0.94296,0.009604,0.009604,0.009604
8,496.468,1.93915,1.47275,0.9409,0.68812,0.5037,0.54929,0.28381,1.71165,3.00327,0.93028,0.009538,0.009538,0.009538
9,551.658,1.89022,1.49168,0.92849,0.80466,0.52963,0.66015,0.34172,1.66863,1.45091,0.92102,0.009472,0.009472,0.009472
10,594.654,1.87592,1.44602,0.9468,0.57684,0.54444,0.53859,0.24215,1.82105,1.5017,0.93971,0.009406,0.009406,0.009406
11,637.357,1.82575,1.32105,0.91211,0.80566,0.48148,0.5972,0.28464,1.79371,2.14956,0.93418,0.00934,0.00934,0.00934
12,680.152,1.79209,1.30216,0.90756,0.84347,0.51852,0.63919,0.30238,1.95703,1.78374,0.97536,0.009274,0.009274,0.009274
13,722.917,1.8061,1.34715,0.93108,0.83884,0.53977,0.64344,0.3514,1.61482,1.55771,0.91518,0.009208,0.009208,0.009208
14,765.57,1.75745,1.19987,0.91279,0.78927,0.47164,0.58704,0.28354,1.78742,1.77643,0.92183,0.009142,0.009142,0.009142
15,808.29,1.75544,1.13571,0.91297,0.7761,0.60741,0.69518,0.30063,1.86628,1.29503,0.92211,0.009076,0.009076,0.009076
16,852.419,1.70569,1.22249,0.89962,0.912,0.66296,0.78662,0.40829,1.60502,1.25541,0.92179,0.00901,0.00901,0.00901
17,896.161,1.63242,1.14522,0.87347,0.86154,0.64528,0.7597,0.4108,1.61184,1.40633,0.90756,0.008944,0.008944,0.008944
18,939.862,1.70043,1.15597,0.88643,0.91016,0.7,0.82141,0.42223,1.53605,1.10363,0.88849,0.008878,0.008878,0.008878
19,984.014,1.66551,1.21354,0.91007,0.86716,0.67698,0.79374,0.44812,1.51738,1.17039,0.90356,0.008812,0.008812,0.008812
20,1041.8,1.67949,1.12169,0.90875,0.83185,0.69625,0.78129,0.41766,1.53391,1.74026,0.90146,0.008746,0.008746,0.008746
21,1087.06,1.7409,1.16487,0.91321,0.89189,0.64165,0.76799,0.40237,1.63401,1.3462,0.90988,0.00868,0.00868,0.00868
22,1131.02,1.67331,1.19125,0.94268,0.92081,0.73208,0.83358,0.45059,1.49246,0.98656,0.89189,0.008614,0.008614,0.008614
23,1174.87,1.65012,1.0882,0.89819,0.88627,0.6638,0.77732,0.44323,1.45634,1.08426,0.89323,0.008548,0.008548,0.008548
24,1231.22,1.59446,1.10479,0.88757,0.89908,0.7,0.82032,0.44729,1.56198,1.0121,0.89337,0.008482,0.008482,0.008482
25,1276.3,1.64703,1.11093,0.90036,0.91023,0.63839,0.76309,0.35816,1.70044,1.10428,0.91063,0.008416,0.008416,0.008416
26,1320.2,1.56331,1.0152,0.86489,0.84137,0.6679,0.7613,0.46482,1.43069,1.23486,0.88074,0.00835,0.00835,0.00835
27,1365.57,1.57925,0.99945,0.8819,0.88127,0.62593,0.77114,0.43825,1.57742,1.38532,0.90217,0.008284,0.008284,0.008284
28,1428.41,1.56008,0.96236,0.8902,0.92415,0.64815,0.78234,0.44772,1.47562,1.21579,0.8907,0.008218,0.008218,0.008218
29,1473.45,1.54233,0.99844,0.86518,0.91073,0.72593,0.84961,0.48605,1.37211,1.00185,0.87708,0.008152,0.008152,0.008152
30,1517.42,1.53126,0.99985,0.8778,0.84553,0.66296,0.76784,0.38333,1.51748,1.11685,0.88232,0.008086,0.008086,0.008086
31,1561.22,1.55917,0.95153,0.89182,0.82428,0.60808,0.75366,0.44757,1.48126,1.49261,0.88615,0.00802,0.00802,0.00802
32,1621.25,1.56317,1.00483,0.88848,0.8952,0.75929,0.84713,0.46906,1.43853,0.89852,0.88903,0.007954,0.007954,0.007954
33,1665.09,1.59219,0.96635,0.8985,0.9386,0.73608,0.86273,0.48002,1.47524,1.11299,0.88368,0.007888,0.007888,0.007888
34,1708.95,1.54269,0.91821,0.88393,0.90747,0.67037,0.8045,0.46112,1.43243,1.05246,0.88599,0.007822,0.007822,0.007822
