epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,258.472,2.35603,9.02799,1.02398,0,0,0,0,nan,nan,nan,0.0704412,0.00328431,0.00328431
2,558.568,2.60732,2.50635,1.05613,0,0,0,0,nan,nan,nan,0.0403975,0.00657397,0.00657397
3,861.852,2.62291,2.43553,1.05033,0.20261,0.08519,0.05275,0.01484,2.93765,4.20567,1.22055,0.0103098,0.00981963,0.00981963
4,1145.31,2.36955,2.03012,1.05842,0,0,0,0,nan,nan,nan,0.009802,0.009802,0.009802
5,1429.46,2.32102,1.91214,0.98987,0.55051,0.24042,0.27219,0.12688,2.3294,2.9994,1.0032,0.009736,0.009736,0.009736
6,1694.34,2.09123,1.75377,0.97158,0.31358,0.1963,0.20426,0.10479,2.0854,3.84751,0.96915,0.00967,0.00967,0.00967
7,1925.98,1.96619,1.64814,0.9374,0.74788,0.41111,0.52381,0.2701,1.75256,2.23812,0.93639,0.009604,0.009604,0.009604
8,2206.04,1.95348,1.55776,0.9422,0.71475,0.64444,0.67817,0.29746,1.81488,2.10822,0.93518,0.009538,0.009538,0.009538
9,2494.59,1.94618,1.48735,0.94328,0.84252,0.5963,0.67443,0.3502,1.75573,1.36986,0.91756,0.009472,0.009472,0.009472
10,2714.91,1.89939,1.44349,0.93876,0.86691,0.36189,0.5429,0.29176,1.78919,2.5955,0.93922,0.009406,0.009406,0.009406
11,3002.51,1.81887,1.3266,0.91529,0.67273,0.48148,0.56489,0.28393,1.78759,1.88373,0.93404,0.00934,0.00934,0.00934
12,3222.96,1.8033,1.38734,0.91183,0.79352,0.57778,0.67131,0.32535,1.74541,1.51688,0.91936,0.009274,0.009274,0.009274
13,3510.75,1.78624,1.33473,0.92299,0.77362,0.54424,0.60825,0.27137,1.8698,1.88891,0.92544,0.009208,0.009208,0.009208
14,3782.27,1.73769,1.22143,0.90678,0.76769,0.59971,0.68486,0.36874,1.65235,1.51059,0.91382,0.009142,0.009142,0.009142
15,4060.59,1.76491,1.15753,0.91357,0.8526,0.69259,0.76796,0.3981,1.64496,1.0821,0.91284,0.009076,0.009076,0.009076
16,4325.45,1.72548,1.25809,0.89905,0.89065,0.6,0.70514,0.35964,1.59909,1.33931,0.90298,0.00901,0.00901,0.00901
17,4597.53,1.71646,1.18934,0.88136,0.8959,0.6056,0.7283,0.37597,1.64295,1.34741,0.89754,0.008944,0.008944,0.008944
18,4860.47,1.71162,1.18424,0.88858,0.86259,0.69748,0.77667,0.38221,1.65711,1.08936,0.91429,0.008878,0.008878,0.008878
19,5088.09,1.72085,1.22032,0.91736,0.83977,0.61852,0.72533,0.37308,1.65168,1.20768,0.91191,0.008812,0.008812,0.008812
20,5357.07,1.67013,1.11645,0.89784,0.86652,0.66296,0.76992,0.38876,1.58604,1.09739,0.9081,0.008746,0.008746,0.008746
