epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,925.241,1.87373,32.8571,0.87355,0.73369,0.46667,0.54418,0.26925,1.76492,18.6628,0.93705,0.000664198,0.000664198,0.000664198
2,1766.49,1.99235,18.7601,0.89616,0.77948,0.57602,0.64194,0.29576,1.88576,10.7497,0.95349,0.00126499,0.00126499,0.00126499
3,2624.92,2.00998,10.5766,0.91921,0.91471,0.64815,0.75039,0.38621,1.71971,5.90676,0.93732,0.00179978,0.00179978,0.00179978
4,3484.79,1.88319,5.92003,0.90646,0.79365,0.52963,0.63943,0.25386,1.87071,4.3046,1.00074,0.001703,0.001703,0.001703
5,4332.14,1.82819,3.97837,0.87997,0.92856,0.62578,0.74108,0.38787,1.68998,2.81134,0.93591,0.001604,0.001604,0.001604
6,5179.57,1.77442,3.0117,0.88424,0.83831,0.65287,0.75311,0.39252,1.64211,2.43801,0.92139,0.001505,0.001505,0.001505
7,6002.08,1.68207,2.26993,0.87554,0.82858,0.71481,0.7927,0.44731,1.6058,1.8202,0.93486,0.001406,0.001406,0.001406
8,6842.72,1.72969,2.01087,0.8822,0.8939,0.74444,0.82705,0.39999,1.70663,1.58783,0.92295,0.001307,0.001307,0.001307
9,7686.24,1.60503,1.71642,0.85831,0.9403,0.72222,0.84287,0.4808,1.5324,1.52998,0.9089,0.001208,0.001208,0.001208
10,8533.61,1.61637,1.67731,0.8473,0.91725,0.69788,0.82575,0.44668,1.49895,1.35877,0.90439,0.001109,0.001109,0.001109
11,9365.6,1.48404,1.37019,0.8666,0.92382,0.74444,0.84217,0.47364,1.47115,1.25496,0.90065,0.00101,0.00101,0.00101
12,10189.7,1.52695,1.3842,0.85763,0.91351,0.74444,0.83861,0.47155,1.43418,1.2728,0.895,0.000911,0.000911,0.000911
13,11021.1,1.43818,1.29778,0.86518,0.91528,0.76024,0.84818,0.47614,1.44429,1.129,0.89835,0.000812,0.000812,0.000812
14,11893.1,1.49196,1.20653,0.86437,0.91677,0.79259,0.88231,0.47147,1.51785,1.05594,0.8981,0.000713,0.000713,0.000713
15,12739.3,1.37697,1.13618,0.83569,0.9306,0.8,0.87223,0.49416,1.39458,1.03044,0.8845,0.000614,0.000614,0.000614
16,13579.9,1.36979,1.08576,0.83847,0.91473,0.79462,0.88161,0.51855,1.37236,0.99542,0.88287,0.000515,0.000515,0.000515
17,14432,1.39176,1.03318,0.86172,0.95454,0.77765,0.88219,0.53459,1.33916,1.00711,0.87363,0.000416,0.000416,0.000416
18,15294.1,1.29023,1.00742,0.82623,0.95128,0.7955,0.89826,0.55183,1.3392,0.93989,0.87709,0.000317,0.000317,0.000317
19,16139.5,1.34242,0.99342,0.84515,0.93501,0.79928,0.89284,0.5555,1.30974,0.90799,0.87341,0.000218,0.000218,0.000218
20,17000.8,1.35386,0.94685,0.85922,0.95901,0.8,0.89784,0.55517,1.30671,0.91497,0.87181,0.000119,0.000119,0.000119
