epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,159.876,2.61949,9.92105,0.72693,6.20799,3.16981,0.98136,0.92377,0.96062,0.18024,0,0,0,0,3.0524,9.85848,0.56643,3.13746,7.56904,0.00056,0.00056,0.00056
2,328.753,1.57905,8.39904,0.7455,0.83467,2.27652,0.77346,0.87719,0.89255,0.30386,0,0,0,0,2.45411,8.05221,0.56415,1.4089,5.7014,0.00113248,0.00113248,0.00113248
3,486.069,1.35319,7.21152,0.69412,0.77671,2.02603,0.14117,0.38596,0.12129,0.03045,0,0,0,0,3.5882,7.2938,0.59023,5.94068,4.57299,0.0016973,0.0016973,0.0016973
4,630.773,1.27633,6.52994,0.64796,0.76,1.9031,0.45201,0.60784,0.41276,0.07997,0,0,0,0,2.84206,8.77385,0.52707,8.82482,4.68906,0.0019604,0.0019604,0.0019604
5,770.007,1.21979,5.85801,0.60386,0.71739,1.82601,0.56125,0.94262,0.80629,0.35791,0.06338,0.15789,0.02394,0.0027,2.00672,6.38023,0.61091,1.77879,3.39107,0.0019472,0.0019472,0.0019472
6,906.923,1.13303,5.60274,0.58234,0.69031,1.74098,0.97465,1,0.99448,0.63439,0.08541,0.08772,0.00844,0.00084,1.44771,6.54588,0.40956,0.94777,2.8388,0.001934,0.001934,0.001934
7,1038.82,1.06905,5.22676,0.5466,0.64775,1.67289,0.95079,0.98246,0.98913,0.62575,0,0,0,0,1.34362,6.36491,0.35306,1.60936,2.39093,0.0019208,0.0019208,0.0019208
8,1171.81,1.10305,4.8298,0.5319,0.63347,1.67497,0.99249,1,0.995,0.73275,0.33141,0.33333,0.1323,0.02471,1.16197,5.03582,0.45369,1.36007,2.0511,0.0019076,0.0019076,0.0019076
9,1311.53,1.00857,4.56021,0.51822,0.60047,1.59897,0.99154,1,0.995,0.60813,0.71113,0.68421,0.59824,0.10695,1.50546,5.2156,0.40698,0.80902,2.66153,0.0018944,0.0018944,0.0018944
10,1447.31,0.92563,4.3709,0.50022,0.56664,1.59761,0.96528,0.97562,0.98967,0.68978,0.224,0.24561,0.08476,0.01242,1.22123,5.37374,0.447,0.58649,2.34861,0.0018812,0.0018812,0.0018812
11,1585.63,0.92362,4.11662,0.4943,0.54816,1.54564,0.99714,1,0.995,0.70574,0.66463,0.66667,0.49346,0.06046,1.2035,5.15393,0.37359,0.5835,2.28265,0.001868,0.001868,0.001868
12,1720.83,0.92273,3.96012,0.4779,0.54522,1.5352,0.76828,0.98891,0.93159,0.64863,0.24436,0.31579,0.08551,0.0134,1.14617,5.31663,0.31246,1.28669,1.8863,0.0018548,0.0018548,0.0018548
13,1860.25,0.91624,3.85632,0.46433,0.53187,1.5255,0.96528,0.97557,0.99322,0.75205,0.94792,0.95802,0.97371,0.12427,0.96179,5.01705,0.3186,0.86837,2.23743,0.0018416,0.0018416,0.0018416
14,1995.23,0.89366,3.52194,0.47347,0.54799,1.54303,0.99863,1,0.995,0.73301,0.87597,0.87719,0.78729,0.12027,1.00816,5.09346,0.23286,0.69195,2.22771,0.0018284,0.0018284,0.0018284
15,2128.89,0.84908,3.43725,0.4541,0.50974,1.46455,0.89613,0.96491,0.94134,0.48482,0.81955,0.61404,0.7395,0.08046,1.58792,5.28183,0.38467,0.87258,2.23812,0.0018152,0.0018152,0.0018152
16,2259.59,0.82285,3.50691,0.43482,0.51842,1.46125,0.99483,1,0.995,0.70488,0.55731,0.5614,0.33815,0.0679,1.13725,4.965,0.26054,0.50094,2.10644,0.001802,0.001802,0.001802
17,2399.35,0.82022,3.27452,0.42715,0.51274,1.42931,0.99674,1,0.995,0.7777,0.96168,0.96491,0.95669,0.19635,0.84163,4.63829,0.23236,0.61338,1.74681,0.0017888,0.0017888,0.0017888
18,2535.42,0.78613,3.23057,0.41969,0.46675,1.40528,0.99819,1,0.995,0.74816,0.91063,0.91228,0.89804,0.09317,0.91336,4.77156,0.26699,0.52663,1.7249,0.0017756,0.0017756,0.0017756
19,2668.12,0.78802,3.29954,0.42825,0.45377,1.41173,0.99894,1,0.995,0.80235,0.98142,0.98246,0.98418,0.20071,0.84211,4.66,0.27273,0.41544,1.69809,0.0017624,0.0017624,0.0017624
