epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2516.54,1.37448,6.65941,0.34498,2.73946,1.54131,0.99995,0.99927,0.995,0.95806,0,0,0,0,0.40717,6.21657,0.04503,0.28653,0.83028,0.00332684,0.00332684,0.00332684
2,5191.34,0.66962,4.37836,0.10858,0.28838,0.73296,0.99417,0.93634,0.98541,0.75718,0.01211,0.00915,0.00285,0.00029,0.85294,6.474,0.05857,0.66136,1.30733,0.00661621,0.00661621,0.00661621
3,7780.16,0.69753,3.28456,0.09458,0.29905,0.7456,0.99285,0.99524,0.99479,0.94182,0.97489,0.97731,0.97674,0.54836,0.42329,2.63246,0.04523,0.32426,0.9005,0.00986159,0.00986159,0.00986159
4,10434.6,0.70354,2.90011,0.06763,0.30338,0.74662,0.99371,0.98134,0.99463,0.93641,0.9763,0.96475,0.97992,0.66352,0.40868,2.2158,0.0165,0.29542,0.82309,0.009802,0.009802,0.009802
5,12383.4,0.68878,2.71371,0.05166,0.27938,0.71198,0.42673,0.67984,0.45525,0.26327,0.30914,0.4925,0.29052,0.12793,1.79052,5.39462,0.03663,2.81603,2.34749,0.009736,0.009736,0.009736
6,14720.4,0.65757,2.6604,0.04424,0.26337,0.69512,0.99995,0.99927,0.995,0.96298,0.97652,0.97585,0.97336,0.68026,0.33743,2.17671,0.01348,0.21983,0.71935,0.00967,0.00967,0.00967
7,17026.5,0.63535,2.55466,0.04267,0.25143,0.67981,0.99997,0.99927,0.995,0.97562,0.99997,0.99927,0.995,0.6965,0.31795,2.04856,0.00741,0.20306,0.69596,0.009604,0.009604,0.009604
8,19381.5,0.63513,2.50105,0.04087,0.248,0.67565,0.98895,0.98975,0.99452,0.97165,0.97438,0.97512,0.98706,0.68146,0.3724,2.19345,0.00741,0.25044,0.75844,0.009538,0.009538,0.009538
9,21269.6,0.63064,2.47443,0.04141,0.24296,0.65471,0.99977,0.99927,0.995,0.97373,0.99793,0.99744,0.99479,0.69616,0.29897,2.0442,0.00909,0.20195,0.67473,0.009472,0.009472,0.009472
10,23267.7,0.61796,2.44181,0.03894,0.23337,0.64805,0.99996,0.99927,0.995,0.97992,0.9996,0.9989,0.99495,0.69641,0.30726,2.07138,0.00589,0.20617,0.6767,0.009406,0.009406,0.009406
11,25743.5,0.61236,2.38434,0.0403,0.22536,0.64491,0.99997,0.99927,0.995,0.97825,0.99997,0.99927,0.995,0.6965,0.28311,2.02633,0.00732,0.19249,0.67228,0.00934,0.00934,0.00934
12,28100.2,0.59664,2.39402,0.03915,0.21781,0.64234,0.99998,0.99927,0.995,0.98091,0.98789,0.98719,0.99084,0.6935,0.2869,2.06732,0.00663,0.21108,0.67195,0.009274,0.009274,0.009274
13,29940.4,0.5958,2.14645,0.03976,0.22238,0.63961,0.99998,0.99927,0.995,0.97493,0.99998,0.99927,0.995,0.8943,0.28609,1.03945,0.00801,0.18375,0.66915,0.009208,0.009208,0.009208
14,32281.1,0.59403,2.01261,0.03888,0.22059,0.64166,0.99998,0.99854,0.995,0.97853,0.99998,0.99854,0.995,0.8954,0.28708,1.02499,0.00815,0.19621,0.66821,0.009142,0.009142,0.009142
15,34745,0.57811,1.9993,0.03756,0.21184,0.64057,0.99998,0.99927,0.995,0.97843,0.99998,0.99927,0.995,0.89516,0.29432,1.03074,0.00703,0.18322,0.67141,0.009076,0.009076,0.009076
16,37079.7,0.59442,2.05368,0.03812,0.22183,0.64215,0.99998,0.99927,0.995,0.97926,0.99998,0.99927,0.995,0.89548,0.28414,1.01497,0.00679,0.18208,0.66594,0.00901,0.00901,0.00901
17,39067.7,0.57953,1.97396,0.03776,0.21095,0.64107,0.99998,0.99927,0.995,0.98046,0.99998,0.99927,0.995,0.89412,0.28117,1.05569,0.00887,0.18201,0.66526,0.008944,0.008944,0.008944
18,41556.2,0.57897,1.95004,0.03717,0.20604,0.6396,0.99982,0.99927,0.995,0.97913,0.99982,0.99927,0.995,0.89524,0.28805,1.04352,0.00582,0.19135,0.67103,0.008878,0.008878,0.008878
19,44037.2,0.59355,1.96034,0.03872,0.21063,0.63129,0.99998,0.99927,0.995,0.98117,0.99998,0.99927,0.995,0.89546,0.27954,1.02307,0.00601,0.18177,0.66577,0.008812,0.008812,0.008812
20,46506.7,0.58341,1.95011,0.03795,0.20733,0.63013,0.99997,0.99927,0.995,0.97868,0.99997,0.99927,0.995,0.89544,0.27885,1.019,0.00728,0.19509,0.66717,0.008746,0.008746,0.008746
21,48304,0.57885,1.92799,0.03728,0.20224,0.62726,0.99998,0.99927,0.995,0.98137,0.99998,0.99927,0.995,0.8955,0.26982,1.01604,0.00639,0.17353,0.66125,0.00868,0.00868,0.00868
